gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,unique_id
F,South West Region,HE Qualification,70-80%,0-35,0,120,N,Pass,BBB_2013J_600370
F,Wales,HE Qualification,10-20,0-35,0,120,N,Fail,BBB_2013J_600470
F,Wales,Lower Than A Level,70-80%,0-35,0,120,Y,Fail,BBB_2013J_600476
F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,BBB_2013J_600490
F,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,BBB_2013J_600684
F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,BBB_2013J_600740
M,Yorkshire Region,Lower Than A Level,10-20,0-35,0,120,N,Fail,BBB_2013J_600749
F,East Midlands Region,Lower Than A Level,80-90%,35-55,0,60,N,Fail,BBB_2013J_600770
M,South East Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,BBB_2013J_600771
F,Wales,Lower Than A Level,70-80%,0-35,0,120,N,Fail,BBB_2013J_600833
M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Fail,BBB_2013J_600845
F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass,BBB_2013J_600856
F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,BBB_2013J_600966
F,London Region,A Level or Equivalent,20-30%,35-55,0,120,N,Fail,BBB_2013J_600967
F,North Western Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013J_600999
F,South West Region,HE Qualification,30-40%,35-55,0,120,N,Pass,BBB_2013J_601243
F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013J_601251
F,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Pass,BBB_2013J_601269
F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,Y,Pass,BBB_2013J_601346
F,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013J_601455
F,Ireland,Lower Than A Level,10-20,35-55,0,60,N,Pass,BBB_2013J_601497
F,Ireland,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013J_601499
F,Ireland,Lower Than A Level,50-60%,35-55,0,60,N,Pass,BBB_2013J_601504
F,Scotland,HE Qualification,70-80%,0-35,0,120,N,Fail,BBB_2013J_601505
F,London Region,Lower Than A Level,30-40%,0-35,0,60,Y,Fail,BBB_2013J_601551
F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,BBB_2013J_601558
M,South East Region,HE Qualification,70-80%,0-35,0,60,N,Pass,BBB_2013J_601635
M,Scotland,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,BBB_2013J_601655
F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,BBB_2013J_601885
F,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,BBB_2013J_601887
F,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013J_601896
F,North Western Region,Lower Than A Level,0-10%,35-55,0,180,N,Fail,BBB_2013J_601934
F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,BBB_2013J_601951
F,Wales,HE Qualification,50-60%,0-35,0,60,N,Pass,BBB_2013J_602009
F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013J_602014
F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Fail,BBB_2013J_602032
M,North Western Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,BBB_2013J_602066
F,Ireland,Lower Than A Level,0-10%,0-35,0,60,N,Pass,BBB_2013J_602147
F,Scotland,Lower Than A Level,10-20,35-55,0,60,N,Pass,BBB_2013J_602245
F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Fail,BBB_2013J_602324
F,East Anglian Region,Lower Than A Level,90-100%,0-35,0,90,N,Pass,BBB_2013J_602395
F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,BBB_2013J_602458
F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,BBB_2013J_602483
F,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass,BBB_2013J_602496
F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,120,N,Fail,BBB_2013J_602598
F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,BBB_2013J_602767
F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,240,N,Fail,BBB_2013J_602826
F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,BBB_2013J_603012
F,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,BBB_2013J_603035
F,Wales,HE Qualification,10-20,0-35,0,120,N,Pass,BBB_2013J_603036
F,Wales,HE Qualification,10-20,35-55,0,120,N,Pass,BBB_2013J_603038
F,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,BBB_2013J_603123
F,Wales,HE Qualification,40-50%,35-55,0,60,N,Pass,BBB_2013J_603165
F,Scotland,A Level or Equivalent,0-10%,35-55,0,120,N,Pass,BBB_2013J_603210
F,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,BBB_2013J_603265
F,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,BBB_2013J_603270
F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,BBB_2013J_603287
F,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,BBB_2013J_603398
F,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,BBB_2013J_603440
F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,120,N,Pass,BBB_2013J_603446
F,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013J_603601
F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,Pass,BBB_2013J_603627
F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,BBB_2013J_603661
F,Ireland,Lower Than A Level,30-40%,0-35,0,60,N,Pass,BBB_2013J_603908
F,Yorkshire Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,BBB_2013J_603912
F,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,BBB_2013J_604095
F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_604116
F,South Region,HE Qualification,70-80%,35-55,0,120,N,Fail,BBB_2013J_604118
F,Scotland,A Level or Equivalent,50-60%,35-55,0,60,N,Fail,BBB_2013J_604147
F,South East Region,HE Qualification,70-80%,0-35,0,120,N,Pass,BBB_2013J_604151
F,Ireland,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013J_604154
F,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,BBB_2013J_604187
F,Ireland,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,BBB_2013J_604196
F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,BBB_2013J_604200
F,Ireland,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013J_604204
F,West Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,BBB_2013J_604238
F,North Western Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,BBB_2013J_604292
F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,BBB_2013J_604315
F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,BBB_2013J_604356
F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,Y,Pass,BBB_2013J_604543
F,North Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,BBB_2013J_604556
F,London Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,BBB_2013J_604731
F,North Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,BBB_2013J_604752
F,Ireland,A Level or Equivalent,10-20,0-35,0,60,N,Pass,BBB_2013J_604916
F,Scotland,HE Qualification,60-70%,35-55,0,60,N,Pass,BBB_2013J_604917
F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,BBB_2013J_604919
F,Ireland,Lower Than A Level,0-10%,35-55,0,60,N,Fail,BBB_2013J_604921
F,Ireland,Lower Than A Level,10-20,35-55,0,60,N,Fail,BBB_2013J_604923
F,Ireland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_604932
F,North Western Region,Lower Than A Level,30-40%,0-35,0,60,Y,Fail,BBB_2013J_604939
F,Ireland,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013J_604942
F,South Region,Lower Than A Level,90-100%,35-55,0,60,N,Fail,BBB_2013J_604951
F,Ireland,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013J_604966
F,Ireland,Lower Than A Level,20-30%,0-35,0,60,N,Pass,BBB_2013J_604982
F,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,BBB_2013J_605009
F,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,BBB_2013J_605102
F,South East Region,Lower Than A Level,60-70%,35-55,0,120,Y,Pass,BBB_2013J_605207
F,East Midlands Region,HE Qualification,30-40%,0-35,0,60,N,Pass,BBB_2013J_605246
F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,120,N,Fail,BBB_2013J_605255
F,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,BBB_2013J_605309
F,Ireland,Lower Than A Level,0-10%,0-35,0,60,N,Fail,BBB_2013J_605327
F,Ireland,Lower Than A Level,50-60%,35-55,0,60,N,Pass,BBB_2013J_605390
F,Scotland,Post Graduate Qualification,60-70%,35-55,0,60,N,Pass,BBB_2013J_605438
F,North Region,Lower Than A Level,30-40%,0-35,0,120,N,Fail,BBB_2013J_605494
F,London Region,Lower Than A Level,30-40%,0-35,0,120,N,Fail,BBB_2013J_605594
F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,Y,Fail,BBB_2013J_605595
F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,BBB_2013J_605679
F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Pass,BBB_2013J_605832
M,East Anglian Region,A Level or Equivalent,0-10%,35-55,0,60,N,Fail,BBB_2013J_605854
F,South Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,BBB_2013J_605916
F,Ireland,Lower Than A Level,30-40%,35-55,0,60,N,Pass,BBB_2013J_605930
F,Wales,A Level or Equivalent,10-20,0-35,0,120,N,Pass,BBB_2013J_606097
F,South West Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,BBB_2013J_606179
F,South East Region,A Level or Equivalent,90-100%,35-55,0,120,N,Pass,BBB_2013J_606194
F,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,BBB_2013J_606229
F,South Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,BBB_2013J_606377
M,Ireland,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013J_606410
F,Ireland,Lower Than A Level,70-80%,0-35,0,60,N,Pass,BBB_2013J_606412
F,Ireland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_606414
F,Ireland,Lower Than A Level,70-80%,0-35,0,60,N,Pass,BBB_2013J_606420
F,Ireland,Lower Than A Level,80-90%,0-35,0,60,N,Pass,BBB_2013J_606422
F,Ireland,Lower Than A Level,30-40%,35-55,0,60,N,Pass,BBB_2013J_606450
F,Ireland,Lower Than A Level,30-40%,35-55,0,60,N,Pass,BBB_2013J_606458
M,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013J_606465
F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,BBB_2013J_606546
F,South Region,HE Qualification,40-50%,0-35,0,120,N,Pass,BBB_2013J_606562
F,West Midlands Region,A Level or Equivalent,0-10%,35-55,0,120,N,Pass,BBB_2013J_606572
F,South West Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,BBB_2013J_606651
M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,BBB_2013J_606685
F,Scotland,Lower Than A Level,30-40%,0-35,0,60,N,Pass,BBB_2013J_606697
F,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,BBB_2013J_606762
F,North Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,BBB_2013J_607097
F,London Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,BBB_2013J_607300
F,London Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,BBB_2013J_607382
F,South East Region,A Level or Equivalent,10-20,35-55,0,60,N,Fail,BBB_2013J_607398
M,Ireland,Lower Than A Level,50-60%,0-35,0,60,N,Pass,BBB_2013J_607493
F,East Anglian Region,HE Qualification,80-90%,0-35,0,60,N,Pass,BBB_2013J_607642
F,London Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,BBB_2013J_607699
F,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013J_607725
F,Scotland,Lower Than A Level,50-60%,35-55,0,60,N,Pass,BBB_2013J_607735
F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,BBB_2013J_607778
M,Scotland,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,BBB_2013J_607804
F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,120,N,Fail,BBB_2013J_607808
F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,BBB_2013J_607887
F,Wales,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_607889
F,North Region,A Level or Equivalent,,35-55,0,60,N,Pass,BBB_2013J_607892
F,Scotland,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,BBB_2013J_607909
F,North Western Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,BBB_2013J_607914
F,Ireland,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,BBB_2013J_607937
M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,Y,Pass,BBB_2013J_608000
F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013J_608041
M,Scotland,Lower Than A Level,70-80%,35-55,0,60,N,Pass,BBB_2013J_608047
M,Scotland,A Level or Equivalent,60-70%,0-35,0,120,N,Fail,BBB_2013J_608197
F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,BBB_2013J_608264
F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,BBB_2013J_608419
F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,BBB_2013J_608564
F,South West Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,BBB_2013J_608578
M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,Y,Pass,BBB_2013J_608623
F,South Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_608647
F,West Midlands Region,Lower Than A Level,10-20,0-35,0,120,Y,Fail,BBB_2013J_608738
F,Ireland,A Level or Equivalent,,35-55,0,120,N,Pass,BBB_2013J_608766
F,Yorkshire Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,BBB_2013J_608939
F,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,BBB_2013J_609010
M,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,BBB_2013J_609046
F,London Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,BBB_2013J_609047
F,South East Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,BBB_2013J_609307
F,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,BBB_2013J_609510
F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,BBB_2013J_609679
F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,BBB_2013J_609704
M,Scotland,Lower Than A Level,30-40%,0-35,0,60,N,Fail,BBB_2013J_609764
M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Fail,BBB_2013J_609804
F,Scotland,HE Qualification,0-10%,0-35,0,60,N,Pass,BBB_2013J_609811
F,Scotland,HE Qualification,90-100%,0-35,0,60,N,Pass,BBB_2013J_609812
F,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,BBB_2013J_609815
F,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013J_609817
F,Scotland,Lower Than A Level,20-30%,35-55,0,60,N,Fail,BBB_2013J_609850
F,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013J_609864
M,Scotland,A Level or Equivalent,10-20,0-35,0,60,N,Pass,BBB_2013J_609871
F,East Anglian Region,No Formal quals,10-20,0-35,0,60,N,Fail,BBB_2013J_609887
F,London Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,BBB_2013J_610032
F,Ireland,A Level or Equivalent,0-10%,0-35,1,60,N,Pass,BBB_2013J_610059
M,Ireland,A Level or Equivalent,,35-55,0,60,N,Fail,BBB_2013J_610118
F,South West Region,HE Qualification,70-80%,0-35,0,60,N,Pass,BBB_2013J_610260
F,London Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013J_610362
M,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,BBB_2013J_610423
F,Wales,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,BBB_2013J_610428
F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,BBB_2013J_610553
F,South West Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,BBB_2013J_610700
M,Wales,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,BBB_2013J_610725
F,Wales,Lower Than A Level,90-100%,35-55,0,60,N,Fail,BBB_2013J_610731
F,Wales,Lower Than A Level,40-50%,0-35,0,60,N,Fail,BBB_2013J_610740
F,Wales,Lower Than A Level,80-90%,0-35,0,60,N,Fail,BBB_2013J_610744
F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,BBB_2013J_610745
F,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,BBB_2013J_610750
F,Wales,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,BBB_2013J_610751
M,Wales,HE Qualification,90-100%,0-35,0,60,N,Pass,BBB_2013J_610763
M,Wales,HE Qualification,10-20,35-55,0,60,N,Fail,BBB_2013J_610772
F,Wales,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,BBB_2013J_610776
F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Fail,BBB_2013J_610780
F,Wales,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,BBB_2013J_610804
F,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,BBB_2013J_610906
F,Wales,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,BBB_2013J_611004
F,South Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,BBB_2013J_611012
F,South Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,BBB_2013J_611017
F,Wales,Lower Than A Level,60-70%,0-35,0,60,N,Pass,BBB_2013J_611023
M,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,BBB_2013J_611048
M,Wales,HE Qualification,30-40%,35-55,0,60,N,Fail,BBB_2013J_611051
F,Wales,HE Qualification,70-80%,35-55,0,60,N,Pass,BBB_2013J_611060
M,Wales,No Formal quals,10-20,0-35,0,60,N,Fail,BBB_2013J_611096
F,North Western Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,BBB_2013J_611182
F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,BBB_2013J_611228
F,North Western Region,A Level or Equivalent,20-30%,35-55,0,120,N,Fail,BBB_2013J_611268
F,East Midlands Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,BBB_2013J_611315
F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,120,N,Pass,BBB_2013J_611383
M,Scotland,Lower Than A Level,30-40%,35-55,0,60,N,Pass,BBB_2013J_611531
F,Ireland,Lower Than A Level,60-70%,0-35,0,60,N,Pass,BBB_2013J_611688
F,Ireland,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,BBB_2013J_611690
F,Scotland,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,BBB_2013J_612210
F,Yorkshire Region,Lower Than A Level,70-80%,35-55,0,180,N,Pass,BBB_2013J_612217
M,South East Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,BBB_2013J_612252
M,South East Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013J_612255
F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,BBB_2013J_612355
F,South East Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013J_612361
F,Ireland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_612484
F,Ireland,A Level or Equivalent,10-20,0-35,0,60,N,Pass,BBB_2013J_612488
F,Ireland,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,BBB_2013J_612517
F,South East Region,HE Qualification,90-100%,35-55,0,120,N,Pass,BBB_2013J_612656
F,South East Region,HE Qualification,30-40%,0-35,0,120,N,Pass,BBB_2013J_612658
F,South East Region,HE Qualification,90-100%,35-55,0,120,N,Pass,BBB_2013J_612661
F,Yorkshire Region,Lower Than A Level,50-60%,0-35,0,120,N,Pass,BBB_2013J_612684
M,North Region,HE Qualification,80-90%,35-55,0,120,N,Pass,BBB_2013J_612757
F,Ireland,Lower Than A Level,30-40%,35-55,0,60,N,Pass,BBB_2013J_612891
F,Ireland,Lower Than A Level,0-10%,35-55,0,60,N,Fail,BBB_2013J_613051
F,Ireland,Lower Than A Level,70-80%,35-55,0,60,N,Pass,BBB_2013J_613158
F,Ireland,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013J_613160
F,Ireland,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013J_613164
F,Scotland,Lower Than A Level,30-40%,35-55,0,60,N,Pass,BBB_2013J_613171
F,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_613173
F,Ireland,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,BBB_2013J_613175
F,Ireland,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,BBB_2013J_613177
F,Ireland,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013J_613196
F,Ireland,Lower Than A Level,30-40%,0-35,0,60,N,Pass,BBB_2013J_613200
F,Ireland,HE Qualification,60-70%,0-35,0,60,N,Pass,BBB_2013J_613203
F,Ireland,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,BBB_2013J_613208
F,Ireland,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013J_613293
M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013J_613416
F,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,60,N,Pass,BBB_2013J_613418
F,South East Region,HE Qualification,70-80%,35-55,0,120,N,Pass,BBB_2013J_613735
F,South East Region,HE Qualification,30-40%,0-35,0,120,N,Pass,BBB_2013J_613738
F,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013J_614013
F,Wales,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013J_614064
F,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013J_614072
F,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Fail,BBB_2013J_614148
F,East Anglian Region,Post Graduate Qualification,90-100%,35-55,0,180,N,Pass,BBB_2013J_614495
F,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,BBB_2013J_614546
F,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,BBB_2013J_614556
F,East Midlands Region,HE Qualification,20-30%,35-55,0,120,N,Pass,BBB_2013J_615127
M,Wales,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,BBB_2013J_616342
M,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail,BBB_2013J_616502
F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,120,N,Pass,BBB_2013J_616735
F,Wales,HE Qualification,30-40%,0-35,0,60,N,Pass,BBB_2013J_617116
F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,BBB_2013J_617472
F,Ireland,HE Qualification,70-80%,0-35,0,60,N,Pass,BBB_2013J_619082
F,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,BBB_2013J_619941
F,South West Region,HE Qualification,40-50%,35-55,0,120,Y,Fail,BBB_2013J_1018682
F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013J_1105438
F,South East Region,HE Qualification,70-80%,35-55,0,120,N,Pass,BBB_2013J_1170618
F,South Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_1340766
F,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,BBB_2013J_1399285
F,North Western Region,Lower Than A Level,70-80%,35-55,0,120,N,Pass,BBB_2013J_1405594
F,West Midlands Region,Lower Than A Level,0-10%,35-55,1,180,Y,Pass,BBB_2013J_1411627
M,North Western Region,HE Qualification,0-10%,35-55,2,120,N,Pass,BBB_2013J_1421720
M,Wales,Lower Than A Level,90-100%,35-55,0,60,N,Pass,BBB_2013J_1440341
M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,BBB_2013J_1467014
F,South West Region,Lower Than A Level,40-50%,35-55,0,120,Y,Pass,BBB_2013J_1503056
F,South Region,HE Qualification,70-80%,35-55,0,120,N,Fail,BBB_2013J_1521687
F,West Midlands Region,Lower Than A Level,10-20,35-55,1,60,N,Pass,BBB_2013J_1536774
F,Scotland,A Level or Equivalent,50-60%,35-55,0,150,Y,Fail,BBB_2013J_1541133
F,South Region,Lower Than A Level,50-60%,55<=,0,60,N,Pass,BBB_2013J_1594621
F,South Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,BBB_2013J_1624707
F,North Region,HE Qualification,40-50%,35-55,0,120,N,Pass,BBB_2013J_1627017
F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,120,N,Pass,BBB_2013J_1695710
F,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,BBB_2013J_1726951
F,Ireland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,BBB_2013J_1731564
F,South East Region,Lower Than A Level,60-70%,35-55,0,60,Y,Pass,BBB_2013J_1778145
F,London Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,BBB_2013J_1781804
F,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,BBB_2013J_1797168
F,South Region,A Level or Equivalent,60-70%,35-55,1,60,N,Pass,BBB_2013J_1886295
F,South East Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,BBB_2013J_1889565
F,West Midlands Region,Lower Than A Level,60-70%,35-55,1,60,N,Pass,BBB_2013J_1903677
F,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,BBB_2013J_1910175
F,Scotland,Lower Than A Level,30-40%,35-55,2,60,Y,Pass,BBB_2013J_1939695
F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,BBB_2013J_1941248
F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,BBB_2013J_1946308
F,West Midlands Region,No Formal quals,0-10%,0-35,0,60,N,Fail,BBB_2013J_1963287
F,Scotland,Lower Than A Level,40-50%,0-35,3,120,N,Fail,BBB_2013J_1990650
M,Wales,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,BBB_2013J_1998790
F,South Region,A Level or Equivalent,40-50%,35-55,0,60,Y,Pass,BBB_2013J_2001687
